"species","troph"
"Myrmica.ruginodis",1
"Myrmica.rugulosa",1
"Myrmica.sabuleti",1
"Myrmica.scabrinodis",1
"Myrmica.schencki",0
"Myrmica.specioides",1
"Myrmicaria.brunnea",1
"Myrmicaria.natalensis.eumenoides",1
"Myrmicocrypta.ednaella",0
"Myrmoteras.barbouri",1
"Myrmoteras.iriodum",1
"Myrmoteras.jaitrongi",1
"Myrmoteras.toro",1
"Neivamyrmex.nigrescens",0
"Neivamyrmex.opacithorax",0
"Neivamyrmex.texanus",0
"Neoponera.apicalis",0
"Neoponera.commutata",1
"Neoponera.obscuricornis",1
"Neoponera.verenae",1
"Neoponera.villosa",0
"Nesomyrmex.echinatinodis",1
"Nesomyrmex.spininodis",1
"Nomamyrmex.esenbeckii",0
"Nothomyrmecia.macrops",0
"Novomessor.cockerelli",0
"Nylanderia.fulva",1
"Ochetellus.glaber",1
"Ocymyrmex.foreli",1
"Odontomachus.affinis",1
"Odontomachus.bauri",1
"Odontomachus.brunneus",1
"Odontomachus.chelifer",1
"Odontomachus.clarus",0
"Odontomachus.haematodus",1
"Odontomachus.hastatus",1
"Odontomachus.laticeps",1
"Odontomachus.opaciventris",1
"Odontomachus.troglodytes",1
"Oecophylla.longinoda",1
"Oecophylla.smaragdina",1
"Onychomyrmex.hedleyi",0
"Ooceraea.biroi",0
"Ophthalmopone.berthoudi",0
"Orectognathus.versicolor",1
"Pachycondyla.harpax",1
"Pachycondyla.striata",1
"Paraponera.clavata",1
"Paratrechina.longicornis",1
"Pheidole.bicornis",1
"Pheidole.dentata",1
"Pheidole.fallax",1
"Pheidole.megacephala",1
"Pheidole.morrisii",1
"Pheidole.pallidula",1
"Pheidole.spadonia",1
"Pheidole.specularis",1
"Plagiolepis.pygmaea",1
"Platythyrea.lamellosa",0
"Platythyrea.modesta",0
"Platythyrea.parallela",0
"Platythyrea.punctata",0
"Platythyrea.quadridenta",0
"Platythyrea.schultzei",0
"Platythyrea.tricuspidata",0
"Pogonomyrmex.badius",0
"Pogonomyrmex.barbatus",1
"Pogonomyrmex.californicus",0
"Pogonomyrmex.imberbiculus",0
"Pogonomyrmex.maricopa",1
"Pogonomyrmex.montanus",0
"Pogonomyrmex.occidentalis",0
"Pogonomyrmex.rugosus",1
"Pogonomyrmex.subnitidus",0
"Pogonomyrmex.texanus",0
"Polyrhachis.arachne",1
"Polyrhachis.dives",1
"Polyrhachis.hodgsoni",1
"Polyrhachis.laboriosa",1
"Polyrhachis.loweryi",1
"Polyrhachis.moesta",1
"Ponera.coarctata",1
"Ponera.exotica",1
"Ponera.pennsylvanica",1
"Ponera.testacea",0
"Prenolepis.imparis",1
"Prenolepis.nitens",1
"Prionopelta.amabilis",0
"Prionopelta.opaca",0
"Pristomyrmex.punctatus",1
"Proatta.butteli",1
"Probolomyrmex.boliviensis",0
"Probolomyrmex.dammermani",0
"Probolomyrmex.longinodus",0
"Proceratium.croceum",0
"Proceratium.goliath",0
"Proceratium.itoi",0
"Proceratium.pergandei",0
"Proceratium.silaceum",0
"Proformica.epinotalis",1
"Protanilla.lini",0
"Pseudomyrmex.concolor",1
"Pseudomyrmex.ejectus",1
"Pseudomyrmex.elongatus",1
"Pseudomyrmex.ferrugineus",1
"Pseudomyrmex.gracilis",1
"Pseudomyrmex.oculatus",1
"Pseudomyrmex.pallidus",1
"Pseudomyrmex.penetrator",1
"Pseudomyrmex.peperi",1
"Pseudomyrmex.satanicus",1
"Pseudomyrmex.spinicola",1
"Pseudomyrmex.tenuis",1
"Pseudomyrmex.termitarius",1
"Rhytidoponera.chalybaea",0
"Rhytidoponera.mayri",0
"Rhytidoponera.metallica",0
"Solenopsis.fugax",1
"Solenopsis.geminata",1
"Solenopsis.invicta",1
"Solenopsis.picta",1
"Stenamma.brevicorne",0
"Stenamma.debile",1
"Stenamma.diecki",0
"Stenamma.impar",0
"Stigmatomma.reclinatum",0
"Streblognathus.aethiopicus",0
"Strumigenys.emarginata",1
"Strumigenys.hexamera",0
"Strumigenys.lewisi",1
"Strumigenys.louisianae",1
"Strumigenys.lujae",1
"Strumigenys.membranifera",0
"Strumigenys.rogeri",1
"Strumigenys.rostrata",0
"Strumigenys.serrula",1
"Strumigenys.solifontis",1
"Tapinoma.erraticum",1
"Tapinoma.madeirense",1
"Tapinoma.melanocephalum",1
"Tapinoma.minutum",1
"Tapinoma.nigerrimum",1
"Tapinoma.sessile",1
"Tapinoma.subboreale",1
"Tatuidris.tatusia",0
"Technomyrmex.albipes",1
"Temnothorax.albipennis",1
"Temnothorax.ambiguus",1
"Temnothorax.andrei",1
"Temnothorax.crassispinus",1
"Temnothorax.curvispinosus",1
"Temnothorax.interruptus",1
"Temnothorax.longispinosus",1
"Temnothorax.nigriceps",1
"Temnothorax.nylanderi",1
"Temnothorax.parvulus",1
"Temnothorax.rugatulus",1
"Temnothorax.tuberum",1
"Temnothorax.unifasciatus",1
"Tetramorium.alpestre",1
"Tetramorium.bicarinatum",1
"Tetramorium.caespitum",1
"Tetramorium.impurum",1
"Tetramorium.semilaeve",1
"Tetramorium.simillimum",1
"Tetramorium.tsushimae",1
"Tetraponera.rufonigra",1
"Thaumatomyrmex.atrox",0
"Thaumatomyrmex.contumax",0
"Typhlomyrmex.rogenhoferi",0
"Wasmannia.auropunctata",1
"Xenomyrmex.floridanus",1
